,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
430,뷰티,[촉촉남프로젝트] 남성 올인원 에센스 끝판왕!,백코리아,153%,"769,000원","500,000원",29,20,"[촉촉남프로젝트] 남성 올인원 에센스 끝판왕!
남성 올인원 에센스 끝판왕으로 촉촉남 프로젝트 완성!! 당신의 메마른 피부에 봄이 왔습니다 :)",2020.11.03-2020.11.16,None
431,뷰티,"국보급 미모 여신 강림,  ""어서와 이런 팩은 처음이지"" ",비케이로웰,604%,"3,023,800원","500,000원",45,24,"싸웠다구요? 화해하고 싶다구요? 함께 이 팩을 하세요. 
어색하다구요? 친해지고 싶다구요? 함께 이 팩을 하세요. 
꿀잼과 피부관리를 동시에? 남치니팩을 하세요.",2019.07.02-2019.07.11,None
432,뷰티,"[모이스처멜팅밤] 유해성분 0.00%, 자연주의 유아보습 솔루션",보알렛,424%,"2,121,600원","500,000원",89,59,"예민한 아기 피부때문에 속상하시다구요?
이제 진정과 보습 끝판왕 보알렛으로 정착하세요!!",2019.11.27-2019.12.22,None
433,뷰티,"[항균메이크업 브러쉬] 브러쉬 유목민이여, 이리로 오시게나",아바마트,2000%,"10,000,000원","500,000원",270,136,"새롭게 개발한 헤어로 메이크업을 더 자연스럽게!

메이크업 아티스트들이 사용하는 브러쉬를 합리적 가격으로!",2019.03.18-2019.04.08,None
434,뷰티,[3.7억 신화/5천명의 서포터] 아임뮤트 립스틱 [1+1],더 블레스문 (THE BLESSEDMOON),2441%,"12,207,800원","500,000원",304,161,[3.7억 신화] 퍼스널 레드컬러의 꿀조합! #아임 뮤트 립스틱이 엣지있는 립을 선사합니다.,2021.04.14-2021.05.17,None
435,뷰티,사람을 살리고 피부도 살리는 사랑 담은 비누 이야기,비티제이,240%,"2,162,900원","900,000원",60,29,"사람을 살립니다.
피부를 살립니다.
그래서 '사랑이야기'가 됩니다.
깨끗한 피부도 가지고 더불어 사람도 살리는 러브스토리의 주인공이 되주세요^^",2019.07.16-2019.08.19,None
436,뷰티,"**비상** 손 씻기가 중요한 때, 어디서든 쉽게 꺼내쓰는 마이핸디클렌저",강남이스트,330%,"16,515,000원","5,000,000원",525,190,"공중 화장실에서 손 씻기를 망설이는 당신을 위해 준비했습니다.
탁월한 휴대성과 누구나 안심하고 쓰는 건강한 성분의 핸드클렌저.
강남이스트 마이 핸디 클렌저를 소개합니다.",2020.02.14-2020.02.23,None
437,뷰티,2020년 마무리 앵콜ㅣ이렇게 완벽한 티트리 제품을 본적 있나요?,힐조,3829%,"19,149,000원","500,000원",488,289,"[2020 마무리 앵콜] 아는 사람은 다 안다는 티트리, 하지만 '좋은' 제품을 찾기는 힘들었습니다. 모두가 100% 티트리 오일을 경험해보실 수 있도록 새로운 제안을 드립니다.",2020.10.05-2020.10.26,None
438,뷰티,[5점 앵콜]아직도 피테라만 알아요? 프랑스에서 찾은 피노누아가 뭐길래?,(주)바를참스킨,1440%,"7,202,800원","500,000원",106,108,프랑스 고급 와인을 만드는데 사용하는 고급 포도품종 피노누아를 아시나요? 그동안 지친 피부에 노폐물은 말끔하게 비워내고 영양은 확실히 채워주는 피노누아로 피부를 진정시켜 주세요,2020.11.05-2020.11.23,None
439,뷰티,"[평점 4.9 앵콜] 민감피부 고민종결, 붉은기까지 #알란토시카가 뭔데?",(주)라파스,1334%,"6,672,700원","500,000원",171,131,"민감피부, 아직도 걱정이라면 시카가 달라져야 한다. 시카, 알란토인으로 완성하다. '알란토-시카'",2020.11.30-2020.12.07,None
440,뷰티,(미백앰플)일주일만 발라도 얼굴이 달라지는 줄기세포 배양액 미백앰플,주시회사 리턴바이오,3283%,"16,418,500원","500,000원",266,160,일주일만 발라도 얼굴이 달라지는 줄기세포 배양액 미백앰플,2020.09.01-2020.09.14,None
441,뷰티,SOS 당신의 언더존이 위험하다!! 청결하고 상쾌한 언더존 만들기,스탠다즈,1760%,"8,800,600원","500,000원",315,186,"혹시 소중한 부분의 냄새, 가려움 때문에 신경쓰였던 적이 있으신가요? 이제 언제 어디서나 언더클린으로 간편하게 관리하세요!",2019.02.25-2019.03.12,None
442,뷰티,"[앵콜] 다시마 토너로 촉촉하게, 이젠 백화점 브랜드 필요 없대요.",루츠(BOUNON),352%,"3,527,700원","1,000,000원",69,54,"부농 씨켈프 스킨 토너는 유해 논란 성분을 거르고 다시마의 영양을 가득 담은, 정제수 0%의 전 성분 EWG 그린 등급 고보습 약산성 토너입니다.",2021.04.13-2021.04.21,None
443,뷰티,"[앵콜]잠자던 모근을 각성시키다! 식물성 줄기세포  샴푸 ""트라이잇""  ",피마코스콤,1328%,"6,641,000원","500,000원",82,51,"시간은 되돌릴 수 없지만 당신의 모발 상태는 되돌릴 수 있습니다. 극손상 모발부터 모근 각성까지~ 모발 관리의 개념을 바꾸어 드립니다. 모근부터 튼튼하게 ""트라이잇""
    추석 기획전 파트너와 함께합니다.",2018.07.31-2018.09.02,None
444,뷰티,앵콜]양말 벗을 준비! 발각질제거제 캘러스필 미스트-풋파일 업그레이드 ,웰맥스,5253%,"26,266,500원","500,000원",764,262,"10년 연구개발로 탄생한 유럽에서 더 유명한 캘러스필 미스트가 풋파일 업그레이드 버전으로 다시 돌아왔습니다. 다가오는 여름, 업그레이드 된 캘러스필 미스트로 양말 벗을 준비 완료!",2019.04.22-2019.05.20,None
445,뷰티,"1,000개 헤어샵 입점확정! 왜? 떡지지 않고 향기가 너무 좋으니까!",(주)라모수,671%,"3,357,000원","500,000원",208,127,해당 부분은 허위·과장 광고로 신고 접수되어 삭제 조치되었습니다.,2019.07.01-2019.07.31,None
446,뷰티,트고 진물나는 피부를 구한! 아빠가 만든 순도 100% 제주마유 제품,비케이수,244%,"2,440,700원","1,000,000원",85,56,"딸을 위해 직접 만든, 모든 것을 쏟아부어 만든 화장품. 
최고의 원료와 무한 반복 테스트를 거친 최상의 혼합비율. 
직접 체험해본 효과를 이제 많은 분과 함께 나누고 싶습니다.
    Jeju with Wadiz 파트너와 함께합니다.",2018.05.25-2018.07.01,None
447,뷰티, [미스트 끝판왕] 두-두-등장!!! 5성급호텔입점브랜드,와이디컴퍼니,617%,"3,089,700원","500,000원",131,154,인체지방세포배양액 함유 화장품! 정제수가 아닌 미네랄워터(노르데나우수)로 만든 미세 진정 [ 미스트 끝판왕 ] 출시! (앰플과 섞어 부스팅 할 수도 있어요),2021.02.24-2021.03.11,None
448,뷰티,#유목민들 모여라 #이번엔 될꺼야 #딱!비누! #천연 클렌징바,(주)심바이오리빙텍,1273%,"6,368,200원","500,000원",59,32,천년의 신비로 피부와 환경을 살리는데- 딱! 닥나무 천연 클렌징바,2019.03.18-2019.04.21,None
