,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
34,반려동물,⭐댕냥이 시선강탈⭐ 자동으로 움직이는 피트니스 로봇,페페토 ,12170%,"85,193,000원",펀딩성공,"2,400",714,반려동물의 정신과 건강을 모두 책임질 킁킁 피트니스 로봇.,2019.06.28-2019.07.14,"700,000원"
35,반려동물,"긴 여행에서도, 일상에서도 히든백 하나로(추석 전 배송)",마이플러피,11031%,"55,159,200원",펀딩성공,634,473,"반려동물 이동가방이지만 내가 메는 아이템이기도 하니까, 기능과 스타일을 모두 갖춘 가방, 마이플러피 히든백",2019.08.19-2019.08.28,"500,000원"
36,반려동물,고양이와 댕댕이들의 국민식기! '달빛식기' 뭐가 달라서?!,STUDIO ALIVE,10907%,"109,075,100원",펀딩성공,"1,827",953,수천의 반려동물들이 사용하는 국민식기! 반려인들의 애정어린 후기를 귀담아 듣고 2019년 한번 더 새로워 졌습니다.,2019.03.28-2019.04.21,"1,000,000원"
37,반려동물,창틀 고정형 고양이 낮잠선반,스튜디오 마스,10902%,"54,511,500원",펀딩성공,655,606,다양한 두께의 창틀에 소음없이 튼튼하게 고정!,2020.09.09-2020.09.28,"500,000원"
38,반려동물,"고양이들을 먼저 생각한 ""묘래박스"" 대형 고양이 화장실",캣츠태그,10881%,"54,406,400원",펀딩성공,"1,338",893,고양이들만을 생각하며 제작한 대형 고양이 화장실 묘래박스입니다.,2020.01.20-2020.02.14,"500,000원"
39,반려동물,캣휠도 가구다! 공간에 녹아드는 조용한 캣휠 _ 브라운즈 캣휠,BROWNS,10255%,"307,660,100원",펀딩성공,"1,351",995,"캣휠도 가구입니다. 공간에 어우러지는 디자인에 조용함, 반려동물과 반려인을 위한",2019.05.23-2019.06.16,"3,000,000원"
40,반려동물,"[8361% 앵콜] 반려견 양치고민엔, 새롭게 돌아온 치석제거껌 '펫즐'",닥터페트라(Dr.Petra),10071%,"50,357,000원",펀딩성공,878,430,"혹시...효과없고, 비싸기만한 덴탈껌 먹이시나요? 반려견 구강관리에대한 고충이 있는 모든 반려인분들께 바칩니다! 덴탈케어와 영양제를 한번에 해결해주는 수의사가 만든 기능성껌 펫즐",2019.12.27-2020.01.20,"500,000원"
41,반려동물,"혈관을 보며 자르는 강아지,고양이 발톱깎이 - 룩컷 (Lookut)",워킨위드 (Walkinnwith),10034%,"100,348,900원",펀딩성공,"3,622",1227,<발톱깎이와 발톱갈이를 하나로>,2019.02.22-2019.03.18,"1,000,000원"
42,반려동물,<1억펀딩>댕냥이 발톱깎이가 이렇게 쉬웠나요? 더 새로워진 NEW 룩컷,워킨위드 (Walkinnwith),10012%,"100,126,800원",펀딩성공,"3,428",1163,"<강아지,고양이 발톱관리의 신세계> 특허받은 발톱깎이와 세계 유일한 발톱 보조도구로 더 쉽고! 더 안전하고! 더욱 편리하게! _With 에어바리깡",2020.03.17-2020.04.16,"1,000,000원"
43,반려동물,[댕댕아 산책가자] 전문 수의사와 트레이너가 만든 프리미엄 산책 리드줄,주식회사 스페이스독,9752%,"48,760,888원",펀딩성공,352,470,반려견과의 산책이 어렵다 느껴진 적 있나요? 네타와 함께라면 산책이 '확' 달라집니다!,2020.06.18-2020.07.19,"500,000원"
