,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
31,여행·레저,팔찌로 변신하는 캐리어 네임텍! 디자인 캐리어 네임텍+예쁜 가죽팔찌,블랑쉐나인,26%,"133,600원","500,000원",23,16,"특별한 여행을 바라는 당신에게 특별한 여행 아이템을 추천합니다
팔찌로도 또는 감성 캐리어 네임택으로도 변신 가능한 감성 캐리어 네임텍",2019.08.13-2019.08.21,펀딩성공
32,여행·레저,바로쿡2020년 베스트 메이커 선정 앵콜! 기념 불없이 조리하는 바로쿡!,주식회사 사람,1665%,"49,972,000원","3,000,000원",647,476,바로쿡 의 진수를 보여드립니다. 전세계 24개국에 수출하는 우리제품 바로쿡 와디즈와 함께 합니다.,2021.02.17-2021.03.08,None
33,여행·레저,[베트남/2월출발] 봉사전문가 박현서BJ와 함께하는 다낭&호이안 볼룬투어,Concept Tour(컨셉투어) by Modetour,50%,"4,288,000원","8,576,000원",9,10,"기존 패키지 여행의 틀을 깨는, 새로운 여행의 패러다임. 여행에 개성을 입힌, Concept Tour.",2019.01.15-2019.01.20,펀딩성공
34,여행·레저,"[4차 펀딩] 여행갈때 입는 옷, 고고팬츠 & 고고티셔츠",롯지,2630%,"131,505,000원","5,000,000원",944,387,"여행갈때 여러분은 어떤 바지를 입으세요? 배낭여행, 휴양지, 캠핑.. 어디서든 '고고팬츠'
    여행/레져 기획전 파트너와 함께합니다.",2018.06.12-2018.06.26,None
35,여행·레저,"운동, 여행, 일상에 편리함과 시원함을 더해줄 반바지 l 액티비티 팬츠",CONDEA,2427%,"12,139,600원","500,000원",241,250,"운동바지, 캐주얼바지, 속옷의 기능을 모두 갖춘 액티비티 팬츠를 3만원대에 만나보세요!",2020.07.16-2020.07.27,None
36,여행·레저,[앵콜]서포터들의 의견이 반영된 개선형 Parking Cooler,칼라풀스트림,52%,"525,000원","1,000,000원",9,15,한여름 태양빛에 달궈진 뜨거운 차량에 시원한 그늘막(Parking Cooler)을 설치하시면 좀더 쾌적한 Driving을 하실수 있습니다.,2019.07.15-2019.07.28,펀딩성공
37,여행·레저,[가성비 혁신] 스마트폰보다 가벼운 폴딩백팩이 3만원대?,4monster,1830%,"18,304,000원","1,000,000원",361,228,"24리터의 넉넉한 수납 공간, 손바닥 크기의 파우치에 쏙 들어가는 휴대성까지!
가성비 좋은 초경량 폴딩백팩 [포몬스터]",2019.06.18-2019.07.07,None
38,여행·레저,캠핑 별거 아니네?! 이제 쉽게 감성 캠핑 해봐요. | 그라비티 캠프,debroke,9475%,"94,752,000원","1,000,000원",438,903,"2020년 그라비티 캠프 신상 라인 출시!
이번에는 그라비티 캠프만의 감성을 담아 캠핑 의자와 테이블, 타프를 준비했습니다.
모던한 디자인과 세련된 색상으로 ‘감성 캠핑’ 적합",2020.04.18-2020.05.18,None
39,여행·레저,여행과 모험을 꿈꾸는 당신을 위한 특별한 컨텐츠 세계지도,AWESOMEMAPS,502%,"5,021,600원","1,000,000원",112,102,"당신이 꿈꾸는 모든 모험이 담겨 있는 세계지도
You are Awesome! We are AwesomeMaps!",2019.04.10-2019.04.28,None
40,여행·레저,"[앵콜/후기확인필수]캠핑테이블의 혁명! 루핀으로 캠핑준비, 1분이면 OK",주식회사  웰큐,2082%,"20,828,000원","1,000,000원",114,169,"큰맘 먹고 떠난 캠핑인데 세팅하다가 하루가 가진 않나요?
당신이 쉼에 집중할 수 있도록 가스버너와 테이블, 바비큐그릴을 하나에 담았습니다
신개념 #원모션캠핑테이블#루핀",2020.10.30-2020.11.09,None
