,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
47,공연·컬쳐,'고요한가을' 첫 EP앨범 제작 프로젝트,팝인코리아,109%,"3,277,000원","3,000,000원",59,26,'고요한 가을'  EP앨범 제작 프로젝트와 함께 해주세요.,2017.04.12-2017.05.07,None
48,공연·컬쳐,한여름 밤의 꿀같은 추억 서울국제청소년 영화제,서울국제청소년영화제,14%,"436,000원","3,000,000원",38,0,"한여름 밤의 꿈, 아니 꿀같은 추억을 원하신다면, 득템의 기회는 지금입니다! 특별한 도심 속 페스티벌, 17회 서울국제청소년영화제로 
연인, 가족, 친구와 함께 무더운 여름의 더위를 날려 보내세요! #개막작은 #마녀배달부키키",2015.07.14-2015.08.04,펀딩성공
49,공연·컬쳐,[서울 패션 페스티벌 2017] 블라인드 티켓 단독 오픈,브이유 엔터테인먼트,141%,"8,505,000원","6,000,000원",128,34,"뮤직 페스티벌, 패션을 끌어안다! 
서울 패션 페스티벌 2017에 음악과 패션을 사랑하는 당신을 초대합니다.
탑 디자이너 브랜드 패션쇼와 국내 최정상 아티스트들의 퍼포먼스까지!",2017.06.21-2017.07.02,None
50,공연·컬쳐,세계 기업가정신을 찾아떠나는 우리의 도전을 응원해주세요!,Dream Seed,5%,"50,000원","1,000,000원",15,1,"드림씨드, Dream Seed
드림씨드는 일반 대학생들로 구성되있는 커뮤니케이터 팀입니다.
저희는 WET를 통해 세계 청년기업가들을 만나고 그들과 소통하여
더 넓은 시야를 가지고 사회에 나가고 싶습니다.
그러나 일반 대학생들의 용돈과 아르바이트 비용으로는 턱없이 
부족한 비용때문에 여러분의 도움을 받고자 합니다.",2014.01.28-2014.02.28,펀딩성공
51,공연·컬쳐,힙합 좋아하세요? 힙합을 만드는 사람들과 래퍼 파탈의 <랩 전시회>,파탈돕차일드 (FATAL DOPECHILD),118%,"2,955,900원","2,500,000원",30,12,"하나의 힙합 앨범이 완성되기까지. 
메세지와 경험, 모든 예술적인 접근을 담아냈습니다. 
래퍼 '파탈'의 <랩 전시회>",2019.07.23-2019.08.11,None
52,공연·컬쳐,구글/국립현대미술관이 선택한 세계적아티스트 권기수작가 <동구리 렌티큘러>,갤러리나우,1703%,"34,073,000원","2,000,000원",42,75,구글과 세계적미술관들이 선택한 자랑스러운 한국 작가 권기수의 '동구리'가 특별한 렌티큘러 에디션으로 찾아왔습니다. 동구리의 매력이 한껏 발산되는 렌티큘러 단독 한정판을 꼭잡으세요!,2020.03.30-2020.04.13,None
53,공연·컬쳐,"부산을 위해 대학생이 만든 AIESEC 프로젝트의 마지막 퍼즐은, 당신!",아이섹 코리아,3%,"15,000원","500,000원",12,0,"AIESEC 부산대학교에서  부산 내의 '환경, 문화와 인권'문제를 고등학생들에게 전하고자 행사 '환경 축전'과 '휴먼라이브러리'를 준비하고 있습니다. 함께 그 축제를 만들며 환경과 인권에 대한 인식을 가지게 되길 기대합니다.",2014.12.19-2015.01.16,펀딩성공
54,공연·컬쳐,청년배우들을 위한 실무교육 세미나,Jackbro,0%,0원,"1,500,000원",6,0,"<청년배우들을 위한 실무교육 프로젝트>
아무런 실무 인프라가 없는 3년 미만의 청년배우들에게 필요한 캐스팅, 계약서 등에 대한 교육 세미나를 여는 프로젝트입니다. 


    경기콘텐츠코리아랩 파트너와 함께합니다.",2015.10.15-2015.11.20,펀딩성공
55,공연·컬쳐,"[뉴트로 필름사진관] 광고 포토그래퍼가 촬영하는 인생사진, 픽커서울",픽커서울(PICKER SEOUL),358%,"3,585,000원","1,000,000원",31,65,"전문 광고 포토그래퍼가 촬영하는 뉴트로 필름사진관. 필름으로 담는 특별한 36컷과 인테리어 소품, 일회용 필름카메라까지 고퀄리티 구성을 간직해보세요.",2020.10.04-2020.10.25,None
56,공연·컬쳐,철학과 학생이 만드는 [철학과 다큐멘터리],류재영,140%,"841,289원","600,000원",51,0,"철학과에서는 뭘 할까, 철학과 학생들은 어떤 사람들일까? 경희대학교 철학과에 다니는 학생들이 중심이 되어 '철학과', 그리고 '철학'에 대한 다큐멘터리를 만듭니다.",2015.06.11-2015.07.15,None
